InventoryID,DateKey,ProductKey,WarehouseKey,SupplierKey,OpeningStock,StockReceived,StockIssued,ClosingStock,ReorderLevel,SafetyStock,InventoryValue,InventoryStatus,DailyDemand,InventoryTurnover,DaysOfInventory,WarehouseUtilizationPct,CarryingCost,StockAgeDays,ExpiredInventory
918,20230217,9,3,5,2511,217,179,2549,1691,1253,611760,Healthy,179,0.07,14.24,2.12,9176.4,60,0
919,20230217,10,3,5,2011,168,156,2023,1474,1092,1031730,Healthy,156,0.08,12.97,1.69,15475.95,12,0
920,20230217,11,3,6,1747,359,333,1773,3146,2331,262404,Critical,333,0.19,5.32,1.48,3936.06,27,0
921,20230217,12,3,6,2799,219,208,2810,1965,1456,2500900,Healthy,208,0.07,13.51,2.34,37513.5,6,0
922,20230217,13,4,7,1560,278,276,1562,2608,1932,2108700,Critical,276,0.18,5.66,1.74,31630.5,71,0
923,20230217,14,4,8,2491,73,66,2498,623,462,4696240,Healthy,66,0.03,37.85,2.78,70443.6,38,0
924,20230217,16,4,10,2586,229,187,2628,1767,1309,1629360,Healthy,187,0.07,14.05,2.92,24440.4,39,0
925,20230217,17,5,11,1848,285,212,1921,2003,1484,92208,Reorder,212,0.11,9.06,2.74,1383.12,8,0
926,20230217,18,5,12,1895,274,235,1934,2220,1645,7736,Reorder,235,0.12,8.23,2.76,116.04,72,0
927,20230217,19,5,13,1836,125,120,1841,1134,840,33138,Healthy,120,0.07,15.34,2.63,497.07,78,2
928,20230217,20,6,14,1476,245,209,1512,1975,1463,39312,Reorder,209,0.14,7.23,3.02,589.68,12,0
929,20230217,21,6,15,1598,217,188,1627,1776,1316,24405,Reorder,188,0.12,8.65,3.25,366.07,52,0
930,20230217,22,6,16,1404,47,45,1406,425,315,47804,Healthy,45,0.03,31.24,2.81,717.06,78,10
931,20230218,1,1,1,5942,276,212,6006,2003,1484,492492,Healthy,212,0.04,28.33,3.34,7387.38,70,0
932,20230218,2,1,1,5041,477,478,5040,4517,3346,544320,Healthy,478,0.09,10.54,2.8,8164.8,6,0
933,20230218,3,1,2,3910,733,645,3998,6095,4515,527736,Critical,645,0.16,6.2,2.22,7916.04,54,0
934,20230218,4,1,2,3288,321,236,3373,2230,1652,593648,Healthy,236,0.07,14.29,1.87,8904.72,9,0
935,20230218,6,2,3,6101,631,583,6149,5509,4081,1322035,Healthy,583,0.1,10.55,4.1,19830.52,88,26
936,20230218,7,2,4,3291,219,183,3327,1729,1281,625476,Healthy,183,0.06,18.18,2.22,9382.14,45,0
937,20230218,8,2,4,5808,407,323,5892,3052,2261,2150580,Healthy,323,0.06,18.24,3.93,32258.7,52,0
938,20230218,9,3,5,2549,257,242,2564,2286,1694,615360,Healthy,242,0.09,10.6,2.14,9230.4,11,0
939,20230218,10,3,5,2023,291,279,2035,2636,1953,1037850,Reorder,279,0.14,7.29,1.7,15567.75,10,0
940,20230218,11,3,6,1773,112,80,1805,756,560,267140,Healthy,80,0.04,22.56,1.5,4007.1,64,0
941,20230218,12,3,6,2810,350,299,2861,2825,2093,2546290,Healthy,299,0.11,9.57,2.38,38194.35,44,0
942,20230218,13,4,7,1562,75,67,1570,633,469,2119500,Healthy,67,0.04,23.43,1.74,31792.5,6,0
943,20230218,14,4,8,2498,137,113,2522,1067,791,4741360,Healthy,113,0.05,22.32,2.8,71120.4,43,0
944,20230218,15,4,9,1291,256,197,1350,1861,1379,3307500,Critical,197,0.15,6.85,1.5,49612.5,52,0
945,20230218,16,4,10,2628,233,195,2666,1842,1365,1652920,Healthy,195,0.07,13.67,2.96,24793.8,30,0
946,20230218,17,5,11,1921,412,342,1991,3231,2394,95568,Critical,342,0.17,5.82,2.84,1433.52,36,0
947,20230218,18,5,12,1934,135,134,1935,1266,938,7740,Healthy,134,0.07,14.44,2.76,116.1,8,0
948,20230218,19,5,13,1841,179,154,1866,1455,1078,33588,Healthy,154,0.08,12.12,2.67,503.82,6,0
949,20230218,20,6,14,1512,170,119,1563,1124,833,40638,Healthy,119,0.08,13.13,3.13,609.57,89,12
950,20230218,21,6,15,1627,187,159,1655,1502,1113,24825,Healthy,159,0.1,10.41,3.31,372.38,18,0
951,20230218,22,6,16,1406,142,141,1407,1332,987,47838,Healthy,141,0.1,9.98,2.81,717.57,58,0
952,20230219,1,1,1,6006,332,253,6085,2390,1771,498970,Healthy,253,0.04,24.05,3.38,7484.55,23,0
953,20230219,2,1,1,5040,286,212,5114,2003,1484,552312,Healthy,212,0.04,24.12,2.84,8284.68,34,0
954,20230219,3,1,2,3998,901,724,4175,6841,5068,551100,Critical,724,0.18,5.77,2.32,8266.5,52,0
955,20230219,4,1,2,3373,572,518,3427,4895,3626,603152,Critical,518,0.15,6.62,1.9,9047.28,79,6
956,20230219,5,2,3,3805,229,200,3834,1890,1400,950832,Healthy,200,0.05,19.17,2.56,14262.48,55,0
957,20230219,6,2,3,6149,738,683,6204,6454,4781,1333860,Reorder,683,0.11,9.08,4.14,20007.9,60,0
958,20230219,8,2,4,5892,920,696,6116,6577,4872,2232340,Reorder,696,0.12,8.79,4.08,33485.1,42,0
959,20230219,9,3,5,2564,367,310,2621,2929,2170,629040,Reorder,310,0.12,8.45,2.18,9435.6,55,0
960,20230219,10,3,5,2035,138,120,2053,1134,840,1047030,Healthy,120,0.06,17.11,1.71,15705.45,45,0
961,20230219,11,3,6,1805,122,97,1830,916,679,270840,Healthy,97,0.05,18.87,1.52,4062.6,30,0
962,20230219,12,3,6,2861,90,86,2865,812,602,2549850,Healthy,86,0.03,33.31,2.39,38247.75,18,0
963,20230219,13,4,7,1570,62,51,1581,481,357,2134350,Healthy,51,0.03,31.0,1.76,32015.25,64,0
964,20230219,14,4,8,2522,83,66,2539,623,462,4773320,Healthy,66,0.03,38.47,2.82,71599.8,50,0
965,20230219,15,4,9,1350,306,225,1431,2126,1575,3505950,Critical,225,0.16,6.36,1.59,52589.25,44,0
966,20230219,16,4,10,2666,112,104,2674,982,728,1657880,Healthy,104,0.04,25.71,2.97,24868.2,16,0
967,20230219,17,5,11,1991,213,200,2004,1890,1400,96192,Healthy,200,0.1,10.02,2.86,1442.88,82,1
968,20230219,18,5,12,1935,223,215,1943,2031,1505,7772,Reorder,215,0.11,9.04,2.78,116.58,23,0
969,20230219,19,5,13,1866,231,198,1899,1871,1386,34182,Healthy,198,0.11,9.59,2.71,512.73,50,0
970,20230219,20,6,14,1563,144,111,1596,1048,777,41496,Healthy,111,0.07,14.38,3.19,622.44,43,0
971,20230219,21,6,15,1655,208,205,1658,1937,1435,24870,Reorder,205,0.12,8.09,3.32,373.05,8,0
972,20230219,22,6,16,1407,160,138,1429,1304,966,48586,Healthy,138,0.1,10.36,2.86,728.79,76,11
973,20230220,1,1,1,6085,218,166,6137,1568,1162,503234,Healthy,166,0.03,36.97,3.41,7548.51,18,0
974,20230220,2,1,1,5114,240,178,5176,1682,1246,559008,Healthy,178,0.03,29.08,2.88,8385.12,6,0
975,20230220,3,1,2,4175,513,500,4188,4725,3500,552816,Reorder,500,0.12,8.38,2.33,8292.24,33,0
976,20230220,4,1,2,3427,775,753,3449,7115,5271,607024,Critical,753,0.22,4.58,1.92,9105.36,52,0
977,20230220,5,2,3,3834,251,228,3857,2154,1596,956536,Healthy,228,0.06,16.92,2.57,14348.04,15,0
978,20230220,6,2,3,6204,972,769,6407,7267,5383,1377505,Reorder,769,0.12,8.33,4.27,20662.58,14,0
979,20230220,7,2,4,3327,453,374,3406,3534,2618,640328,Reorder,374,0.11,9.11,2.27,9604.92,87,28
980,20230220,8,2,4,6116,791,579,6328,5471,4053,2309720,Healthy,579,0.09,10.93,4.22,34645.8,47,0
981,20230220,9,3,5,2621,284,284,2621,2683,1988,629040,Reorder,284,0.11,9.23,2.18,9435.6,11,0
982,20230220,10,3,5,2053,275,251,2077,2371,1757,1059270,Reorder,251,0.12,8.27,1.73,15889.05,55,0
983,20230220,11,3,6,1830,338,280,1888,2646,1960,279424,Critical,280,0.15,6.74,1.57,4191.36,59,0
984,20230220,13,4,7,1581,104,87,1598,822,609,2157300,Healthy,87,0.05,18.37,1.78,32359.5,28,0
985,20230220,14,4,8,2539,287,250,2576,2362,1750,4842880,Healthy,250,0.1,10.3,2.86,72643.2,24,0
986,20230220,15,4,9,1431,166,157,1440,1483,1099,3528000,Reorder,157,0.11,9.17,1.6,52920.0,36,0
987,20230220,16,4,10,2674,333,277,2730,2617,1939,1692600,Healthy,277,0.1,9.86,3.03,25389.0,75,0
988,20230220,17,5,11,2004,137,105,2036,992,735,97728,Healthy,105,0.05,19.39,2.91,1465.92,54,0
989,20230220,19,5,13,1899,149,125,1923,1181,875,34614,Healthy,125,0.07,15.38,2.75,519.21,72,0
990,20230220,20,6,14,1596,207,204,1599,1927,1428,41574,Reorder,204,0.13,7.84,3.2,623.61,74,0
991,20230220,21,6,15,1658,111,100,1669,945,700,25035,Healthy,100,0.06,16.69,3.34,375.52,50,0
992,20230220,22,6,16,1429,99,90,1438,850,630,48892,Healthy,90,0.06,15.98,2.88,733.38,49,0
993,20230221,1,1,1,6137,224,179,6182,1691,1253,506924,Healthy,179,0.03,34.54,3.43,7603.86,54,0
994,20230221,2,1,1,5176,288,226,5238,2135,1582,565704,Healthy,226,0.04,23.18,2.91,8485.56,81,14
995,20230221,3,1,2,4188,566,559,4195,5282,3913,553740,Reorder,559,0.13,7.5,2.33,8306.1,40,0
996,20230221,4,1,2,3449,568,580,3437,5481,4060,604912,Critical,580,0.17,5.93,1.91,9073.68,72,0
997,20230221,5,2,3,3857,521,462,3916,4365,3234,971168,Reorder,462,0.12,8.48,2.61,14567.52,34,0
998,20230221,6,2,3,6407,434,311,6530,2938,2177,1403950,Healthy,311,0.05,21.0,4.35,21059.25,89,30
999,20230221,7,2,4,3406,751,713,3444,6737,4991,647472,Critical,713,0.21,4.83,2.3,9712.08,12,0
1000,20230221,8,2,4,6328,469,422,6375,3987,2954,2326875,Healthy,422,0.07,15.11,4.25,34903.12,78,49
1001,20230221,9,3,5,2621,281,264,2638,2494,1848,633120,Healthy,264,0.1,9.99,2.2,9496.8,27,0
1002,20230221,10,3,5,2077,261,239,2099,2258,1673,1070490,Reorder,239,0.11,8.78,1.75,16057.35,50,0
1003,20230221,11,3,6,1888,313,222,1979,2097,1554,292892,Reorder,222,0.11,8.91,1.65,4393.38,50,0
1004,20230221,12,3,6,2865,307,247,2925,2334,1729,2603250,Healthy,247,0.09,11.84,2.44,39048.75,77,6
1005,20230221,13,4,7,1598,159,137,1620,1294,959,2187000,Healthy,137,0.09,11.82,1.8,32805.0,68,0
1006,20230221,15,4,9,1440,221,172,1489,1625,1204,3648050,Reorder,172,0.12,8.66,1.65,54720.75,9,0
1007,20230221,16,4,10,2730,101,86,2745,812,602,1701900,Healthy,86,0.03,31.92,3.05,25528.5,33,0
1008,20230221,18,5,12,1943,346,317,1972,2995,2219,7888,Critical,317,0.16,6.22,2.82,118.32,47,0
1009,20230221,19,5,13,1923,257,190,1990,1795,1330,35820,Healthy,190,0.1,10.47,2.84,537.3,21,0
1010,20230221,20,6,14,1599,172,139,1632,1313,973,42432,Healthy,139,0.09,11.74,3.26,636.48,46,0
1011,20230221,21,6,15,1669,139,116,1692,1096,812,25380,Healthy,116,0.07,14.59,3.38,380.7,23,0
1012,20230221,22,6,16,1438,156,137,1457,1294,959,49538,Healthy,137,0.09,10.64,2.91,743.07,51,0
1013,20230222,1,1,1,6182,352,270,6264,2551,1890,513648,Healthy,270,0.04,23.2,3.48,7704.72,89,25
1014,20230222,2,1,1,5238,1085,875,5448,8268,6125,588384,Critical,875,0.16,6.23,3.03,8825.76,46,0
1015,20230222,3,1,2,4195,477,396,4276,3742,2772,564432,Healthy,396,0.09,10.8,2.38,8466.48,60,0
1016,20230222,4,1,2,3437,617,555,3499,5244,3885,615824,Critical,555,0.16,6.3,1.94,9237.36,88,20
1017,20230222,5,2,3,3916,543,540,3919,5103,3780,971912,Reorder,540,0.14,7.26,2.61,14578.68,83,22
1018,20230222,6,2,3,6530,649,590,6589,5575,4130,1416635,Healthy,590,0.09,11.17,4.39,21249.52,27,0
1019,20230222,7,2,4,3444,214,196,3462,1852,1372,650856,Healthy,196,0.06,17.66,2.31,9762.84,42,0
1020,20230222,8,2,4,6375,277,264,6388,2494,1848,2331620,Healthy,264,0.04,24.2,4.26,34974.3,78,50
1021,20230222,9,3,5,2638,288,246,2680,2324,1722,643200,Healthy,246,0.09,10.89,2.23,9648.0,77,1
1022,20230222,10,3,5,2099,100,86,2113,812,602,1077630,Healthy,86,0.04,24.57,1.76,16164.45,83,7
1023,20230222,11,3,6,1979,93,70,2002,661,490,296296,Healthy,70,0.04,28.6,1.67,4444.44,68,0
1024,20230222,12,3,6,2925,350,334,2941,3156,2338,2617490,Reorder,334,0.11,8.81,2.45,39262.35,35,0
1025,20230222,13,4,7,1620,143,119,1644,1124,833,2219400,Healthy,119,0.07,13.82,1.83,33291.0,86,2
1026,20230222,15,4,9,1489,351,295,1545,2787,2065,3785250,Critical,295,0.19,5.24,1.72,56778.75,47,0
1027,20230222,16,4,10,2745,132,107,2770,1011,749,1717400,Healthy,107,0.04,25.89,3.08,25761.0,36,0
1028,20230222,17,5,11,2036,559,445,2150,4205,3115,103200,Critical,445,0.21,4.83,3.07,1548.0,18,0
1029,20230222,18,5,12,1972,142,104,2010,982,728,8040,Healthy,104,0.05,19.33,2.87,120.6,61,0
1030,20230222,19,5,13,1990,88,80,1998,756,560,35964,Healthy,80,0.04,24.98,2.85,539.46,57,0
1031,20230222,20,6,14,1632,316,261,1687,2466,1827,43862,Critical,261,0.16,6.46,3.37,657.93,74,0
1032,20230222,21,6,15,1692,124,116,1700,1096,812,25500,Healthy,116,0.07,14.66,3.4,382.5,78,7
1033,20230222,22,6,16,1457,141,114,1484,1077,798,50456,Healthy,114,0.08,13.02,2.97,756.84,9,0
1034,20230223,2,1,1,5448,256,215,5489,2031,1505,592812,Healthy,215,0.04,25.53,3.05,8892.18,18,0
1035,20230223,3,1,2,4276,967,813,4430,7682,5691,584760,Critical,813,0.19,5.45,2.46,8771.4,53,0
1036,20230223,4,1,2,3499,373,302,3570,2853,2114,628320,Healthy,302,0.09,11.82,1.98,9424.8,16,0
1037,20230223,5,2,3,3919,313,304,3928,2872,2128,974144,Healthy,304,0.08,12.92,2.62,14612.16,66,0
1038,20230223,6,2,3,6589,1278,1035,6832,9780,7245,1468880,Critical,1035,0.15,6.6,4.55,22033.2,88,21
1039,20230223,7,2,4,3462,406,334,3534,3156,2338,664392,Healthy,334,0.1,10.58,2.36,9965.88,11,0
1040,20230223,8,2,4,6388,214,181,6421,1710,1267,2343665,Healthy,181,0.03,35.48,4.28,35154.97,29,0
1041,20230223,9,3,5,2680,370,323,2727,3052,2261,654480,Reorder,323,0.12,8.44,2.27,9817.2,74,0
1042,20230223,10,3,5,2113,229,191,2151,1804,1337,1097010,Healthy,191,0.09,11.26,1.79,16455.15,35,0
1043,20230223,11,3,6,2002,118,105,2015,992,735,298220,Healthy,105,0.05,19.19,1.68,4473.3,75,0
1044,20230223,13,4,7,1644,488,361,1771,3411,2527,2390850,Critical,361,0.21,4.91,1.97,35862.75,51,0
1045,20230223,14,4,8,2576,137,114,2599,1077,798,4886120,Healthy,114,0.04,22.8,2.89,73291.8,89,20
1046,20230223,16,4,10,2770,127,98,2799,926,686,1735380,Healthy,98,0.04,28.56,3.11,26030.7,8,0
1047,20230223,17,5,11,2150,239,220,2169,2079,1540,104112,Healthy,220,0.1,9.86,3.1,1561.68,15,0
1048,20230223,18,5,12,2010,263,204,2069,1927,1428,8276,Healthy,204,0.1,10.14,2.96,124.14,55,0
1049,20230223,19,5,13,1998,148,138,2008,1304,966,36144,Healthy,138,0.07,14.55,2.87,542.16,38,0
1050,20230223,20,6,14,1687,82,75,1694,708,525,44044,Healthy,75,0.04,22.59,3.39,660.66,28,0
1051,20230223,21,6,15,1700,112,95,1717,897,665,25755,Healthy,95,0.06,18.07,3.43,386.32,28,0
1052,20230223,22,6,16,1484,99,80,1503,756,560,51102,Healthy,80,0.05,18.79,3.01,766.53,64,0
1053,20230224,1,1,1,6264,354,337,6281,3184,2359,515042,Healthy,337,0.05,18.64,3.49,7725.63,77,3
1054,20230224,2,1,1,5489,779,734,5534,6936,5138,597672,Reorder,734,0.13,7.54,3.07,8965.08,17,0
1055,20230224,3,1,2,4430,305,267,4468,2523,1869,589776,Healthy,267,0.06,16.73,2.48,8846.64,74,0
1056,20230224,4,1,2,3570,356,325,3601,3071,2275,633776,Healthy,325,0.09,11.08,2.0,9506.64,34,0
1057,20230224,5,2,3,3928,449,409,3968,3865,2863,984064,Healthy,409,0.1,9.7,2.65,14760.96,71,0
1058,20230224,6,2,3,6832,206,179,6859,1691,1253,1474685,Healthy,179,0.03,38.32,4.57,22120.27,65,0
1059,20230224,7,2,4,3534,482,380,3636,3591,2660,683568,Healthy,380,0.11,9.57,2.42,10253.52,43,0
1060,20230224,8,2,4,6421,888,886,6423,8372,6202,2344395,Reorder,886,0.14,7.25,4.28,35165.92,9,0
1061,20230224,9,3,5,2727,477,443,2761,4186,3101,662640,Critical,443,0.16,6.23,2.3,9939.6,78,21
1062,20230224,11,3,6,2015,94,68,2041,642,476,302068,Healthy,68,0.03,30.01,1.7,4531.02,62,0
1063,20230224,12,3,6,2941,131,131,2941,1237,917,2617490,Healthy,131,0.04,22.45,2.45,39262.35,32,0
1064,20230224,13,4,7,1771,187,138,1820,1304,966,2457000,Healthy,138,0.08,13.19,2.02,36855.0,59,0
1065,20230224,14,4,8,2599,59,56,2602,529,392,4891760,Healthy,56,0.02,46.46,2.89,73376.4,30,0
1066,20230224,15,4,9,1545,62,50,1557,472,350,3814650,Healthy,50,0.03,31.14,1.73,57219.75,81,8
1067,20230224,16,4,10,2799,496,457,2838,4318,3199,1759560,Critical,457,0.16,6.21,3.15,26393.4,13,0
1068,20230224,17,5,11,2169,101,93,2177,878,651,104496,Healthy,93,0.04,23.41,3.11,1567.44,75,0
1069,20230224,19,5,13,2008,182,151,2039,1426,1057,36702,Healthy,151,0.07,13.5,2.91,550.53,63,0
1070,20230224,20,6,14,1694,86,60,1720,567,420,44720,Healthy,60,0.04,28.67,3.44,670.8,84,16
1071,20230224,21,6,15,1717,186,137,1766,1294,959,26490,Healthy,137,0.08,12.89,3.53,397.35,24,0
1072,20230224,22,6,16,1503,141,130,1514,1228,910,51476,Healthy,130,0.09,11.65,3.03,772.14,17,0
1073,20230225,1,1,1,6281,788,636,6433,6010,4452,527506,Healthy,636,0.1,10.11,3.57,7912.59,17,0
1074,20230225,3,1,2,4468,781,689,4560,6511,4823,601920,Critical,689,0.15,6.62,2.53,9028.8,49,0
1075,20230225,4,1,2,3601,251,190,3662,1795,1330,644512,Healthy,190,0.05,19.27,2.03,9667.68,88,31
1076,20230225,5,2,3,3968,762,636,4094,6010,4452,1015312,Critical,636,0.16,6.44,2.73,15229.68,27,0
1077,20230225,6,2,3,6859,834,674,7019,6369,4718,1509085,Healthy,674,0.1,10.41,4.68,22636.27,82,51
1078,20230225,7,2,4,3636,591,592,3635,5594,4144,683380,Critical,592,0.16,6.14,2.42,10250.7,47,0
1079,20230225,9,3,5,2761,93,69,2785,652,483,668400,Healthy,69,0.02,40.36,2.32,10026.0,65,0
1080,20230225,10,3,5,2151,122,106,2167,1001,742,1105170,Healthy,106,0.05,20.44,1.81,16577.55,7,0
1081,20230225,11,3,6,2041,466,435,2072,4110,3045,306656,Critical,435,0.21,4.76,1.73,4599.84,44,0
1082,20230225,12,3,6,2941,112,99,2954,935,693,2629060,Healthy,99,0.03,29.84,2.46,39435.9,17,0
1083,20230225,13,4,7,1820,66,49,1837,463,343,2479950,Healthy,49,0.03,37.49,2.04,37199.25,43,0
1084,20230225,14,4,8,2602,71,55,2618,519,385,4921840,Healthy,55,0.02,47.6,2.91,73827.6,46,0
1085,20230225,15,4,9,1557,134,116,1575,1096,812,3858750,Healthy,116,0.07,13.58,1.75,57881.25,87,2
1086,20230225,16,4,10,2838,153,128,2863,1209,896,1775060,Healthy,128,0.04,22.37,3.18,26625.9,57,0
1087,20230225,17,5,11,2177,132,115,2194,1086,805,105312,Healthy,115,0.05,19.08,3.13,1579.68,52,0
1088,20230225,18,5,12,2069,398,323,2144,3052,2261,8576,Critical,323,0.15,6.64,3.06,128.64,25,0
1089,20230225,19,5,13,2039,66,63,2042,595,441,36756,Healthy,63,0.03,32.41,2.92,551.34,56,0
1090,20230225,20,6,14,1720,148,145,1723,1370,1015,44798,Healthy,145,0.08,11.88,3.45,671.97,77,0
1091,20230225,21,6,15,1766,187,183,1770,1729,1281,26550,Healthy,183,0.1,9.67,3.54,398.25,30,0
1092,20230225,22,6,16,1514,158,119,1553,1124,833,52802,Healthy,119,0.08,13.05,3.11,792.03,63,0
1093,20230226,1,1,1,6433,1201,1064,6570,10054,7448,538740,Critical,1064,0.16,6.17,3.65,8081.1,30,0
1094,20230226,2,1,1,5534,802,761,5575,7191,5327,602100,Reorder,761,0.14,7.33,3.1,9031.5,69,0
1095,20230226,3,1,2,4560,280,266,4574,2513,1862,603768,Healthy,266,0.06,17.2,2.54,9056.52,8,0
1096,20230226,5,2,3,4094,276,244,4126,2305,1708,1023248,Healthy,244,0.06,16.91,2.75,15348.72,62,0
1097,20230226,6,2,3,7019,1070,1043,7046,9856,7301,1514890,Critical,1043,0.15,6.76,4.7,22723.35,80,70
1098,20230226,7,2,4,3635,805,645,3795,6095,4515,713460,Critical,645,0.17,5.88,2.53,10701.9,38,0
1099,20230226,9,3,5,2785,353,301,2837,2844,2107,680880,Reorder,301,0.11,9.43,2.36,10213.2,41,0
1100,20230226,10,3,5,2167,255,209,2213,1975,1463,1128630,Healthy,209,0.1,10.59,1.84,16929.45,78,6
1101,20230226,11,3,6,2072,221,184,2109,1738,1288,312132,Healthy,184,0.09,11.46,1.76,4681.98,31,0
1102,20230226,12,3,6,2954,149,128,2975,1209,896,2647750,Healthy,128,0.04,23.24,2.48,39716.25,7,0
1103,20230226,13,4,7,1837,136,121,1852,1143,847,2500200,Healthy,121,0.07,15.31,2.06,37503.0,6,0
1104,20230226,14,4,8,2618,132,103,2647,973,721,4976360,Healthy,103,0.04,25.7,2.94,74645.4,27,0
1105,20230226,15,4,9,1575,63,46,1592,434,322,3900400,Healthy,46,0.03,34.61,1.77,58506.0,37,0
1106,20230226,16,4,10,2863,565,521,2907,4923,3647,1802340,Critical,521,0.18,5.58,3.23,27035.1,87,8
1107,20230226,17,5,11,2194,113,94,2213,888,658,106224,Healthy,94,0.04,23.54,3.16,1593.36,49,0
1108,20230226,18,5,12,2144,115,92,2167,869,644,8668,Healthy,92,0.04,23.55,3.1,130.02,43,0
1109,20230226,19,5,13,2042,71,64,2049,604,448,36882,Healthy,64,0.03,32.02,2.93,553.23,55,0
1110,20230226,20,6,14,1723,179,133,1769,1256,931,45994,Healthy,133,0.08,13.3,3.54,689.91,89,11
1111,20230226,21,6,15,1770,174,150,1794,1417,1050,26910,Healthy,150,0.08,11.96,3.59,403.65,41,0
1112,20230226,22,6,16,1553,96,77,1572,727,539,53448,Healthy,77,0.05,20.42,3.14,801.72,13,0
1113,20230227,1,1,1,6570,284,235,6619,2220,1645,542758,Healthy,235,0.04,28.17,3.68,8141.37,46,0
1114,20230227,2,1,1,5575,1025,777,5823,7342,5439,628884,Reorder,777,0.14,7.49,3.23,9433.26,88,19
1115,20230227,3,1,2,4574,328,295,4607,2787,2065,608124,Healthy,295,0.06,15.62,2.56,9121.86,35,0
1116,20230227,5,2,3,4126,229,196,4159,1852,1372,1031432,Healthy,196,0.05,21.22,2.77,15471.48,81,25
1117,20230227,6,2,3,7046,622,537,7131,5074,3759,1533165,Healthy,537,0.08,13.28,4.75,22997.47,8,0
1118,20230227,7,2,4,3795,690,639,3846,6038,4473,723048,Critical,639,0.17,6.02,2.56,10845.72,38,0
1119,20230227,8,2,4,6423,486,379,6530,3581,2653,2383450,Healthy,379,0.06,17.23,4.35,35751.75,9,0
1120,20230227,9,3,5,2837,288,270,2855,2551,1890,685200,Healthy,270,0.09,10.57,2.38,10278.0,29,0
1121,20230227,10,3,5,2213,81,74,2220,699,518,1132200,Healthy,74,0.03,30.0,1.85,16983.0,73,0
1122,20230227,11,3,6,2109,115,95,2129,897,665,315092,Healthy,95,0.04,22.41,1.77,4726.38,90,11
1123,20230227,12,3,6,2975,85,78,2982,737,546,2653980,Healthy,78,0.03,38.23,2.48,39809.7,89,28
1124,20230227,13,4,7,1852,131,105,1878,992,735,2535300,Healthy,105,0.06,17.89,2.09,38029.5,65,0
1125,20230227,14,4,8,2647,302,258,2691,2438,1806,5059080,Healthy,258,0.1,10.43,2.99,75886.2,76,24
1126,20230227,16,4,10,2907,138,122,2923,1152,854,1812260,Healthy,122,0.04,23.96,3.25,27183.9,47,0
1127,20230227,17,5,11,2213,233,181,2265,1710,1267,108720,Healthy,181,0.08,12.51,3.24,1630.8,33,0
1128,20230227,18,5,12,2167,229,179,2217,1691,1253,8868,Healthy,179,0.08,12.39,3.17,133.02,47,0
1129,20230227,19,5,13,2049,155,137,2067,1294,959,37206,Healthy,137,0.07,15.09,2.95,558.09,64,0
1130,20230227,20,6,14,1769,147,118,1798,1115,826,46748,Healthy,118,0.07,15.24,3.6,701.22,86,2
1131,20230227,21,6,15,1794,224,178,1840,1682,1246,27600,Healthy,178,0.1,10.34,3.68,414.0,20,0
1132,20230227,22,6,16,1572,52,41,1583,387,287,53822,Healthy,41,0.03,38.61,3.17,807.33,43,0
1133,20230228,1,1,1,6619,613,574,6658,5424,4018,545956,Healthy,574,0.09,11.6,3.7,8189.34,24,0
1134,20230228,3,1,2,4607,243,203,4647,1918,1421,613404,Healthy,203,0.04,22.89,2.58,9201.06,57,0
1135,20230228,4,1,2,3662,913,786,3789,7427,5502,666864,Critical,786,0.21,4.82,2.1,10002.96,63,0
1136,20230228,5,2,3,4159,470,460,4169,4347,3220,1033912,Reorder,460,0.11,9.06,2.78,15508.68,28,0
1137,20230228,6,2,3,7131,531,431,7231,4072,3017,1554665,Healthy,431,0.06,16.78,4.82,23319.97,85,22
1138,20230228,7,2,4,3846,676,530,3992,5008,3710,750496,Reorder,530,0.14,7.53,2.66,11257.44,62,0
1139,20230228,8,2,4,6530,809,757,6582,7153,5299,2402430,Reorder,757,0.12,8.69,4.39,36036.45,26,0
1140,20230228,9,3,5,2855,236,182,2909,1719,1274,698160,Healthy,182,0.06,15.98,2.42,10472.4,16,0
1141,20230228,10,3,5,2220,462,411,2271,3883,2877,1158210,Critical,411,0.18,5.53,1.89,17373.15,59,0
1142,20230228,11,3,6,2129,274,263,2140,2485,1841,316720,Reorder,263,0.12,8.14,1.78,4750.8,54,0
1143,20230228,14,4,8,2691,73,68,2696,642,476,5068480,Healthy,68,0.03,39.65,3.0,76027.2,52,0
1144,20230228,15,4,9,1592,280,243,1629,2296,1701,3991050,Critical,243,0.15,6.7,1.81,59865.75,72,0
1145,20230228,16,4,10,2923,312,291,2944,2749,2037,1825280,Healthy,291,0.1,10.12,3.27,27379.2,85,23
1146,20230228,17,5,11,2265,125,116,2274,1096,812,109152,Healthy,116,0.05,19.6,3.25,1637.28,49,0
1147,20230228,18,5,12,2217,422,335,2304,3165,2345,9216,Critical,335,0.15,6.88,3.29,138.24,69,0
1148,20230228,19,5,13,2067,143,110,2100,1039,770,37800,Healthy,110,0.05,19.09,3.0,567.0,10,0
1149,20230228,20,6,14,1798,272,227,1843,2145,1589,47918,Reorder,227,0.12,8.12,3.69,718.77,71,0
1150,20230228,21,6,15,1840,215,173,1882,1634,1211,28230,Healthy,173,0.09,10.88,3.76,423.45,22,0
1151,20230228,22,6,16,1583,146,139,1590,1313,973,54060,Healthy,139,0.09,11.44,3.18,810.9,50,0
